Reducing the number of VLM layers to 16 ...
dataset: 120 episodios, 24431 fotogramas
politica: 99.9M parametros entrenables en mps
objc[87198]: Class AVFFrameReceiver is implemented in both /Users/macuartin/www/robotics/youbot/.venv/lib/python3.14/site-packages/av/.dylibs/libavdevice.61.3.100.dylib (0x12a6403a8) and /opt/homebrew/Cellar/ffmpeg/8.1.2_1/lib/libavdevice.62.3.102.dylib (0x135e64328). This may cause spurious casting failures and mysterious crashes. One of the duplicates must be removed or renamed.
objc[87198]: Class AVFAudioReceiver is implemented in both /Users/macuartin/www/robotics/youbot/.venv/lib/python3.14/site-packages/av/.dylibs/libavdevice.61.3.100.dylib (0x12a6403f8) and /opt/homebrew/Cellar/ffmpeg/8.1.2_1/lib/libavdevice.62.3.102.dylib (0x135e64378). This may cause spurious casting failures and mysterious crashes. One of the duplicates must be removed or renamed.
  paso  2170/3000 | loss 0.0730 | 2.91 s/paso
  paso  2180/3000 | loss 0.0686 | 2.83 s/paso
  paso  2190/3000 | loss 0.0645 | 2.82 s/paso
  paso  2200/3000 | loss 0.0732 | 2.95 s/paso
  paso  2210/3000 | loss 0.0609 | 2.84 s/paso
  paso  2220/3000 | loss 0.0682 | 2.85 s/paso
  paso  2230/3000 | loss 0.0740 | 2.84 s/paso
  paso  2240/3000 | loss 0.0991 | 3.01 s/paso
  paso  2250/3000 | loss 0.1018 | 2.85 s/paso
  paso  2260/3000 | loss 0.0792 | 3.05 s/paso
  paso  2270/3000 | loss 0.0772 | 3.08 s/paso
  paso  2280/3000 | loss 0.0580 | 3.12 s/paso
  paso  2290/3000 | loss 0.0689 | 3.05 s/paso
  paso  2300/3000 | loss 0.0487 | 3.13 s/paso
  paso  2310/3000 | loss 0.0652 | 3.07 s/paso
  paso  2320/3000 | loss 0.0675 | 3.04 s/paso
  paso  2330/3000 | loss 0.0702 | 3.14 s/paso
  paso  2340/3000 | loss 0.0776 | 3.03 s/paso
  paso  2350/3000 | loss 0.0684 | 3.02 s/paso
  paso  2360/3000 | loss 0.0846 | 3.02 s/paso
  paso  2370/3000 | loss 0.0860 | 3.04 s/paso
  paso  2380/3000 | loss 0.0632 | 3.04 s/paso
  paso  2390/3000 | loss 0.0662 | 3.04 s/paso
  paso  2400/3000 | loss 0.0494 | 3.03 s/paso
  paso  2410/3000 | loss 0.0636 | 3.05 s/paso
  paso  2420/3000 | loss 0.0616 | 3.08 s/paso
  paso  2430/3000 | loss 0.0590 | 3.15 s/paso
  paso  2440/3000 | loss 0.0983 | 3.08 s/paso
  paso  2450/3000 | loss 0.0704 | 3.04 s/paso
  paso  2460/3000 | loss 0.0906 | 3.01 s/paso
  paso  2470/3000 | loss 0.0604 | 2.99 s/paso
  paso  2480/3000 | loss 0.0704 | 3.02 s/paso
  paso  2490/3000 | loss 0.0568 | 3.00 s/paso
  paso  2500/3000 | loss 0.0760 | 2.97 s/paso
    checkpoint guardado en el paso 2500
  paso  2510/3000 | loss 0.0650 | 3.04 s/paso
  paso  2520/3000 | loss 0.0629 | 2.94 s/paso
  paso  2530/3000 | loss 0.0638 | 2.98 s/paso
  paso  2540/3000 | loss 0.0725 | 1.90 s/paso
  paso  2550/3000 | loss 0.0621 | 1.70 s/paso
  paso  2560/3000 | loss 0.0578 | 1.71 s/paso
  paso  2570/3000 | loss 0.0749 | 1.61 s/paso
  paso  2580/3000 | loss 0.0841 | 1.61 s/paso
  paso  2590/3000 | loss 0.0688 | 1.63 s/paso
  paso  2600/3000 | loss 0.0538 | 1.65 s/paso
  paso  2610/3000 | loss 0.0589 | 1.61 s/paso
  paso  2620/3000 | loss 0.0605 | 1.62 s/paso
  paso  2630/3000 | loss 0.0898 | 1.62 s/paso
  paso  2640/3000 | loss 0.0944 | 1.64 s/paso
  paso  2650/3000 | loss 0.0683 | 1.66 s/paso
  paso  2660/3000 | loss 0.0736 | 1.65 s/paso
  paso  2670/3000 | loss 0.0800 | 1.91 s/paso
  paso  2680/3000 | loss 0.0717 | 1.83 s/paso
  paso  2690/3000 | loss 0.0694 | 2.06 s/paso
  paso  2700/3000 | loss 0.0597 | 2.20 s/paso
  paso  2710/3000 | loss 0.0625 | 1.84 s/paso
  paso  2720/3000 | loss 0.0530 | 1.85 s/paso
  paso  2730/3000 | loss 0.0614 | 1.71 s/paso
  paso  2740/3000 | loss 0.0555 | 1.60 s/paso
  paso  2750/3000 | loss 0.0729 | 1.69 s/paso
  paso  2760/3000 | loss 0.0635 | 1.64 s/paso
  paso  2770/3000 | loss 0.0715 | 1.60 s/paso
  paso  2780/3000 | loss 0.0818 | 1.77 s/paso
  paso  2790/3000 | loss 0.0747 | 1.84 s/paso
  paso  2800/3000 | loss 0.0599 | 1.86 s/paso
  paso  2810/3000 | loss 0.0577 | 1.93 s/paso
  paso  2820/3000 | loss 0.0649 | 1.71 s/paso
  paso  2830/3000 | loss 0.0574 | 1.88 s/paso
  paso  2840/3000 | loss 0.0583 | 1.98 s/paso
  paso  2850/3000 | loss 0.0625 | 2.08 s/paso
  paso  2860/3000 | loss 0.0532 | 1.87 s/paso
  paso  2870/3000 | loss 0.0738 | 1.87 s/paso
  paso  2880/3000 | loss 0.0937 | 1.85 s/paso
  paso  2890/3000 | loss 0.0672 | 1.86 s/paso
  paso  2900/3000 | loss 0.0711 | 2.02 s/paso
  paso  2910/3000 | loss 0.0650 | 1.94 s/paso
  paso  2920/3000 | loss 0.0451 | 2.01 s/paso
  paso  2930/3000 | loss 0.0788 | 2.02 s/paso
  paso  2940/3000 | loss 0.0994 | 1.74 s/paso
  paso  2950/3000 | loss 0.0791 | 1.83 s/paso
  paso  2960/3000 | loss 0.0703 | 1.91 s/paso
  paso  2970/3000 | loss 0.0627 | 1.90 s/paso
  paso  2980/3000 | loss 0.0599 | 1.84 s/paso
  paso  2990/3000 | loss 0.0640 | 1.78 s/paso
  paso  3000/3000 | loss 0.0603 | 1.87 s/paso
    checkpoint guardado en el paso 3000

Checkpoint en /Users/macuartin/www/robotics/youbot/results/smolvla-docking
